Timestamp,RAM_In_Use_MB,Total_RAM_MB,LFB_Size,Block_Max_MB,SWAP_In_Use_MB,Total_SWAP_MB,Cached_MB,used_IRAM_kB,total_IRAM_kB, lfb_kB,CPU1_Utilization_Percent,CPU1_Frequency_MHz,CPU2_Utilization_Percent,CPU2_Frequency_MHz,CPU3_Utilization_Percent,CPU3_Frequency_MHz,CPU4_Utilization_Percent,CPU4_Frequency_MHz,EMC_Frequency_Percent,GR3D_Frequency_Percent,PLL_Temperature_C,CPU_Temperature_C,PMIC_Temperature_C,GPU_Temperature_C,AO_Temperature_C,Thermal_Temperature_C
2024-08-17 16:42:55,1560,1952,7,2,3055,13264,172,0,252,252,72,1479,69,1479,70,1479,66,1479,0,0,0,0,0,0,0,0
2024-08-17 16:42:58,1566,1952,7,2,3055,13264,172,0,252,252,96,1479,96,1479,94,1479,93,1479,0,0,0,0,0,0,0,0
2024-08-17 16:42:58,1566,1952,7,2,3055,13264,172,0,252,252,95,1479,96,1479,95,1479,93,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:00,1570,1952,6,2,3055,13264,172,0,252,252,98,1479,96,1479,98,1479,98,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:02,1562,1952,6,2,3054,13264,172,0,252,252,96,1479,96,1479,96,1479,98,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:02,1562,1952,6,2,3054,13264,172,0,252,252,97,1479,97,1479,96,1479,99,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:04,1563,1952,6,2,3054,13264,172,0,252,252,94,1479,93,1479,93,1479,93,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:06,1573,1952,3,2,3061,13264,173,0,252,252,96,1479,98,1479,97,1479,97,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:09,1573,1952,2,2,3061,13264,169,0,252,252,98,1479,99,1479,99,1479,97,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:11,1562,1952,5,2,3061,13264,169,0,252,252,92,1479,92,1479,91,1479,87,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:13,1563,1952,5,2,3061,13264,169,0,252,252,95,1479,93,1479,95,1479,93,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:15,1562,1952,5,2,3060,13264,169,0,252,252,96,1479,94,1479,94,1479,90,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:16,1562,1952,5,2,3060,13264,169,0,252,252,94,1479,91,1479,93,1479,93,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:17,1563,1952,5,2,3060,13264,169,0,252,252,94,1479,94,1479,94,1479,96,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:19,1575,1952,2,2,3065,13264,171,0,252,252,97,1479,98,1479,95,1479,96,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:20,1576,1952,2,2,3065,13264,172,0,252,252,97,1479,98,1479,97,1479,96,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:22,1562,1952,2,2,3075,13264,179,0,252,252,95,1479,95,1479,94,1479,96,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:24,1554,1952,5,2,3075,13264,179,0,252,252,97,1479,98,1479,99,1479,97,1479,0,0,0,0,0,0,0,0
2024-08-17 16:43:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-17 16:52:59,1551,1952,3,1,3243,13264,172,0,252,252,80,1479,79,1479,79,1479,76,1479,0,0,0,0,0,0,0,0
2024-08-17 16:53:01,1551,1952,3,1,3242,13264,172,0,252,252,94,1479,95,1479,93,1479,90,1479,0,0,0,0,0,0,0,0
2024-08-17 16:53:01,1556,1952,3,1,3242,13264,172,0,252,252,95,1479,95,1479,94,1479,89,1479,0,0,0,0,0,0,0,0
2024-08-17 16:53:03,1558,1952,5,1,3242,13264,160,0,252,252,97,1479,97,1479,94,1479,97,1479,0,0,0,0,0,0,0,0
2024-08-17 16:53:05,1559,1952,1,2,3242,13264,161,0,252,252,93,1479,94,1479,93,1479,92,1479,0,0,0,0,0,0,0,0
2024-08-17 20:51:45,1434,1952,2,2,7022,13264,66,0,252,252,71,1479,70,1479,72,1479,69,1479,0,0,0,0,0,0,0,0
2024-08-17 20:51:47,1438,1952,1,2,7019,13264,66,0,252,252,85,1428,82,1428,78,1428,81,1428,0,0,0,0,0,0,0,0
2024-08-17 20:51:47,1438,1952,1,2,7019,13264,66,0,252,252,83,1479,80,1479,75,1479,79,1479,0,0,0,0,0,0,0,0
2024-08-17 20:51:49,1440,1952,1,2,7019,13264,66,0,252,252,81,1224,74,1224,77,1224,73,1224,0,0,0,0,0,0,0,0
2024-08-17 20:51:52,1441,1952,1,2,7018,13264,66,0,252,252,66,1224,62,1224,60,1224,68,1224,0,0,0,0,0,0,0,0
2024-08-17 20:51:54,1443,1952,1,2,7018,13264,66,0,252,252,90,1479,93,1479,90,1479,89,1479,0,0,0,0,0,0,0,0
2024-08-17 20:51:56,1444,1952,1,2,7018,13264,67,0,252,252,69,1224,67,1224,67,1224,70,1224,0,0,0,0,0,0,0,0
2024-08-17 20:51:58,1457,1952,1,1,7018,13264,64,0,252,252,76,1479,74,1479,74,1479,71,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:00,1456,1952,1,1,7017,13264,60,0,252,252,93,1479,92,1479,95,1479,91,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:01,1449,1952,1,1,7017,13264,55,0,252,252,87,1479,81,1479,81,1479,81,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:02,1455,1952,3,1,7012,13264,47,0,252,252,97,1479,95,1479,98,1479,96,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:05,1455,1952,4,1,7011,13264,42,0,252,252,100,1479,100,1479,99,1479,99,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:07,1448,1952,4,1,7010,13264,42,0,252,252,97,1479,96,1479,96,1479,96,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:09,1450,1952,4,1,7010,13264,42,0,252,252,91,1479,90,1479,91,1479,89,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:11,1453,1952,4,1,7007,13264,43,0,252,252,95,1479,95,1479,95,1479,92,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:13,1455,1952,4,1,7007,13264,43,0,252,252,94,1479,92,1479,93,1479,93,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:15,1449,1952,1,2,7007,13264,43,0,252,252,95,1479,96,1479,95,1479,95,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:16,1448,1952,1,2,7007,13264,43,0,252,252,94,1479,97,1479,95,1479,96,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:18,1449,1952,1,2,7006,13264,43,0,252,252,90,1479,86,1479,84,1479,82,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:20,1450,1952,1,2,7006,13264,43,0,252,252,94,1479,94,1479,95,1479,93,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:22,1451,1952,1,2,7006,13264,43,0,252,252,83,1428,82,1428,76,1428,76,1428,0,0,0,0,0,0,0,0
2024-08-17 20:52:24,1454,1952,1,2,7006,13264,43,0,252,252,95,1479,95,1479,96,1479,95,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:27,1446,1952,4,1,7006,13264,29,0,252,252,97,1479,96,1479,97,1479,96,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:29,1449,1952,4,1,7004,13264,30,0,252,252,98,1479,99,1479,100,1479,98,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:30,1461,1952,4,1,7001,13264,36,0,252,252,99,1479,98,1479,98,1479,98,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:31,1477,1952,1,2,6975,13264,35,0,252,252,96,1479,97,1479,98,1479,95,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:33,1474,1952,4,1,6964,13264,31,0,252,252,69,1428,60,1428,60,1428,60,1428,0,0,0,0,0,0,0,0
2024-08-17 20:52:35,1472,1952,4,1,6964,13264,31,0,252,252,72,1326,65,1326,70,1326,68,1326,0,0,0,0,0,0,0,0
2024-08-17 20:52:38,1474,1952,4,1,6964,13264,31,0,252,252,75,1479,70,1479,66,1479,69,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:40,1487,1952,4,1,6963,13264,31,0,252,252,94,1479,95,1479,95,1479,95,1479,0,0,0,0,0,0,0,0
2024-08-17 20:52:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-17 20:52:43,1489,1952,4,1,6963,13264,30,0,252,252,68,1479,58,1479,64,1479,63,1479,0,0,0,0,0,0,0,0
